Iteration,Temperature,CurrentCost d198
852,6.0119e+01,29075
853,6.0059e+01,27820
854,5.9999e+01,27272
855,5.9939e+01,27888
856,5.9879e+01,25991
857,5.9819e+01,26773
858,5.9760e+01,25284
859,5.9700e+01,26730
860,5.9640e+01,27381
861,5.9581e+01,26755
862,5.9521e+01,26068
863,5.9461e+01,25943
864,5.9402e+01,26736
865,5.9343e+01,26749
866,5.9283e+01,26475
867,5.9224e+01,25761
868,5.9165e+01,25747
869,5.9106e+01,26208
870,5.9046e+01,26136
871,5.8987e+01,26488
872,5.8928e+01,26744
873,5.8869e+01,26842
874,5.8811e+01,27006
875,5.8752e+01,27442
876,5.8693e+01,26896
877,5.8634e+01,25547
878,5.8576e+01,26377
879,5.8517e+01,26102
880,5.8459e+01,25216
881,5.8400e+01,26001
882,5.8342e+01,25834
883,5.8283e+01,25327
884,5.8225e+01,26882
885,5.8167e+01,27423
886,5.8109e+01,28093
887,5.8051e+01,28103
888,5.7993e+01,29043
889,5.7935e+01,28298
890,5.7877e+01,27478
891,5.7819e+01,26637
892,5.7761e+01,25858
893,5.7703e+01,26120
894,5.7646e+01,27064
895,5.7588e+01,27591
896,5.7530e+01,26995
897,5.7473e+01,26355
898,5.7415e+01,26433
899,5.7358e+01,25944
900,5.7301e+01,26192
901,5.7243e+01,26508
902,5.7186e+01,26025
903,5.7129e+01,26368
904,5.7072e+01,26711
905,5.7015e+01,27353
906,5.6958e+01,26765
907,5.6901e+01,25885
908,5.6844e+01,25730
909,5.6787e+01,27023
910,5.6730e+01,26897
911,5.6673e+01,26699
912,5.6617e+01,26287
913,5.6560e+01,27082
914,5.6504e+01,26299
915,5.6447e+01,26545
916,5.6391e+01,27088
917,5.6334e+01,25355
918,5.6278e+01,26300
919,5.6222e+01,25766
920,5.6165e+01,26076
921,5.6109e+01,25795
922,5.6053e+01,26248
923,5.5997e+01,26591
924,5.5941e+01,25585
925,5.5885e+01,25888
926,5.5829e+01,26144
927,5.5773e+01,26742
928,5.5718e+01,26772
929,5.5662e+01,25743
930,5.5606e+01,27124
931,5.5551e+01,25535
932,5.5495e+01,26151
933,5.5440e+01,27551
934,5.5384e+01,27030
935,5.5329e+01,26465
936,5.5273e+01,27239
937,5.5218e+01,27030
938,5.5163e+01,27896
939,5.5108e+01,27936
940,5.5053e+01,26137
941,5.4998e+01,26930
942,5.4943e+01,27153
943,5.4888e+01,26773
944,5.4833e+01,25514
945,5.4778e+01,26231
946,5.4723e+01,27067
947,5.4668e+01,25866
948,5.4614e+01,26081
949,5.4559e+01,26758
950,5.4505e+01,26676
951,5.4450e+01,26210
952,5.4396e+01,27535
953,5.4341e+01,25966
954,5.4287e+01,25664
955,5.4233e+01,24985
956,5.4178e+01,25621
957,5.4124e+01,24587
958,5.4070e+01,26007
959,5.4016e+01,25353
960,5.3962e+01,25885
961,5.3908e+01,24878
962,5.3854e+01,26172
963,5.3800e+01,26371
964,5.3746e+01,24997
965,5.3693e+01,27194
966,5.3639e+01,26481
967,5.3585e+01,25883
968,5.3532e+01,25611
969,5.3478e+01,24573
970,5.3425e+01,25326
971,5.3371e+01,25432
972,5.3318e+01,26710
973,5.3265e+01,25975
974,5.3211e+01,25309
975,5.3158e+01,25634
976,5.3105e+01,26116
977,5.3052e+01,25829
978,5.2999e+01,25767
979,5.2946e+01,25488
980,5.2893e+01,24855
981,5.2840e+01,24922
982,5.2787e+01,25050
983,5.2734e+01,24882
984,5.2682e+01,24642
985,5.2629e+01,23683
986,5.2576e+01,24493
987,5.2524e+01,24159
988,5.2471e+01,24151
989,5.2419e+01,24494
990,5.2366e+01,24706
991,5.2314e+01,24404
992,5.2262e+01,24853
993,5.2209e+01,25379
994,5.2157e+01,24709
995,5.2105e+01,25093
996,5.2053e+01,25117
997,5.2001e+01,24335
998,5.1949e+01,24414
999,5.1897e+01,25223
1000,5.1845e+01,24919
1001,5.1793e+01,24362
1002,5.1741e+01,24876
1003,5.1690e+01,24827
1004,5.1638e+01,25973
1005,5.1586e+01,25476
1006,5.1535e+01,25108
1007,5.1483e+01,24260
1008,5.1432e+01,25335
1009,5.1380e+01,25847
1010,5.1329e+01,24685
1011,5.1278e+01,24778
1012,5.1226e+01,25182
1013,5.1175e+01,24480
1014,5.1124e+01,23498
1015,5.1073e+01,23811
1016,5.1022e+01,25147
1017,5.0971e+01,25615
1018,5.0920e+01,25505
1019,5.0869e+01,24862
1020,5.0818e+01,25170
1021,5.0767e+01,25488
1022,5.0716e+01,24845
1023,5.0666e+01,25670
1024,5.0615e+01,25444
1025,5.0564e+01,24726
1026,5.0514e+01,24970
1027,5.0463e+01,24636
1028,5.0413e+01,25357
1029,5.0362e+01,25535
1030,5.0312e+01,24511
1031,5.0262e+01,24651
1032,5.0211e+01,24844
1033,5.0161e+01,25879
1034,5.0111e+01,24050
1035,5.0061e+01,24887
1036,5.0011e+01,24877
1037,4.9961e+01,24083
1038,4.9911e+01,23991
1039,4.9861e+01,24399
1040,4.9811e+01,24893
1041,4.9761e+01,25100
1042,4.9712e+01,25174
1043,4.9662e+01,25545
1044,4.9612e+01,25021
1045,4.9563e+01,24981
1046,4.9513e+01,24157
1047,4.9464e+01,25436
1048,4.9414e+01,24712
1049,4.9365e+01,24666
1050,4.9315e+01,24666
1051,4.9266e+01,25197
1052,4.9217e+01,25189
1053,4.9168e+01,25479
1054,4.9118e+01,25518
1055,4.9069e+01,25519
1056,4.9020e+01,24359
1057,4.8971e+01,24662
1058,4.8922e+01,24571
1059,4.8873e+01,24651
1060,4.8824e+01,23752
1061,4.8776e+01,23628
1062,4.8727e+01,23947
1063,4.8678e+01,24916
